,userName,isEdited,date,title,rating,review,developerResponse
10,Heiliner,False,2018-04-07 16:55:14,Love and Hate Product,5,I love the concept of the product. The reviews about slow lag times are true. To make the cameras functional I have had to purchase two cameras per each location.  For example I have a RingPro doorbell and a second camera facing 90 degrees off the other camera. One of the two cameras gets the intruder. I have the same set up for the driveway; two cameras at different locations. The cameras caught some fellow around 2 in the morning walking up into the driveway and trying the door handles of the locked cars. The RingPro extenders don’t have enough range. I have had to purchase a more powerful extender to get the speed and quality up on one of the cameras. The notification on the iPhone cannot be changed so the sound is like tinker bell. I have asked for a vibrate only notification but so far nothing. Bottom Line: don’t expect to purchase ONE camera and have everything work without problems. This product is still being developed. UPDATE: Ring keeps getting better...they have done away with the “tinkled bell” alert sound as the only alert sound and added voice alerts which are much better. Ring has also added a “snooze” function which will stop alerts up to 2 hours.,
11,FloridaNeighbor,False,2018-10-07 19:08:27,BAD UPDATE,3,"I love the concept of the Ring device and instant notifications triggered by motion or a doorbell ring. Unfortunately, this falls short when timing is critical. To only see the back of someone because of the delay in activation defeats the purpose of the device. Now for the recent update. I updated the app, as prompted, to ensure the best results  for my security device. BIG MISTAKE!! All of my recordings were deleted! When I tried view even the most recent motion activation, I was able to receive the notification, but I had a message stating my plan was expired attached to every single notification (Motion, Live View and Doorbell). I spent an hour on the phone with customer service as my plan was not expired. The rep couldn’t explain what happened. On a whim, I deleted the app and reinstalled it, and tadah,  everything came back. Ring People: if you are reading this, please correct whatever went wrong!!! I didn’t even know that my videos were deleted or that newer stuff was not being recorded until I went into the videos to delete the ones I didn’t want. This is potentially dangerous when homeowners think they are protected by surveillance and that surveillance fails from a flaw in the app without even knowing it until it is too late. Hopefully everything doesn’t get screwy again as I only discovered the issue today.",
12,Chmsyd,True,2018-06-23 05:18:04,Good technology that needs work,5,"I must say it is awesome knowing what is going on at home when your away. I gave this product only two stars initially because I have had numerous problems with it ever since I got it. I have had problems with WiFi connection, batteries and poor video quality or delayed play back when someone is either at the door or in my driveway. I contacted Ring support more than I can count and every time I did the same trouble shooting that never fixes the problems, you would be better off getting something that actually works, I am taking it down and replacing it with something that works. I may consider using Ring again when all the problems are fixed, until then better luck next time

Update: 
After speaking with Sam from Ring headquarters, she did everything she could to help me. Sam offered a full refund for the products and stayed in touch even after I received my refund. Because of Sam, I may consider using Ring Cameras in the future. Sam know how to treat a customer and she made sure I was satisfied. I am updating my review to 5 stars because of the service Sam provided me with. This is what I call customer service, Thanks Sam.","{'id': 3152646, 'body': 'Hi Chmsyd, \n\nI am sorry to hear about this less than excellent Ring experience. While I do see that you have been in contact with our Customer Support team, I would appreciate the chance to step in and provide you with some additional assistance. It is of great importance to me that we get your Ring device working consistently to your expectations and I would like to make sure that this happens for you ASAP. Would you please email me at Kaitlyn.rosenthal@ring.com? \n\nI would appreciate your time.\n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-06-23T05:18:04Z'}"
13,Love0905,False,2019-08-12 08:44:28,Unreliable Security System,1,"My husband and I have the Wireless Spotlight cameras. One on our front door for package thieves and one on our garage to watch over my car because we only have one garage. While the cameras come in handy in us keeping an eye on our packages while we aren't home, they're really good for nothing. They're inconveniently dysfunctional. The motion detector really isn't that great. There has been two incidents right in front of our driveway and the cameras caught nothing. One of our guest's car got broken into. When we looked back at the videos, it recorded cars driving by and all, but nothing of what happened. The front door camera captured a small glimpse of someone already walking right off so we have no idea if it was that person or not. So helpful, right? The other time, someone threw a glass bottle at our guest's car. Once again, nothing. I noticed that if there's continuous movement, the camera records the first 30 seconds and that's it. Basically, all it'll catch is someone walking up to your house and what they do is history. This makes Ring not a reliable security system at all. My biggest problem with the cameras is, sometimes the live video won't even load! And NO, it's not because of our wifi. We plan on getting rid of Ring for a security system that records 24 hours instead. If you are looking for some pros or special features of Ring cameras, that can be found on the product description.",
14,Sircoffee,False,2018-12-12 02:33:21,"New idea, use AWS for motion tagging",4,"Use the power of amazons AWS to tag possible motion that sets off my cameras. Simply place a blue or red box around the item triggering the camera detection. Take a still of the video with the item triggering my motion detector and send that image as a notification on my iPhone. That way I can chose to open the app and view the video or see that it was my wife pulling into the driveway. 

It takes too long for me to move from the notification to the video, even on high speed WiFi with my iPhone XS Max. By the time I view the live video, the item setting off my motion detector may no longer be in frame. Then, I have to wait for the motion history to load the video to your servers in order to view. I spend a minute refreshing the list, all the while the item setting off my motion detector has moved to a new location. 

I love the cameras and the system overall, but the time delay from notification to viewing my camera feed is too slow and cumbersome. This eventually causes me to pass on viewing some motions. If it happens to me, then I know it happens to others. One day my lack of motivation is going to cause harm and render your services null, the whole reason I’ve paid for cameras and video storage in the first place.",
15,MDK1705,False,2017-11-04 01:31:33,Floodlight Cam needs more control of lights,3,"I own both a ring doorbell and a ring floodlight cam. Overall I am pleased with both. The cameras are excellent, day and night. The motion sensing is almost perfect (but occasionally does miss activity). Notifications are almost immediate (most of the time). I purchased the Floodlight cam to replace a motion sensing fixture that had a photocell for dusk to dawn operation year round at 50% intensity until it detected motion, then 100% intensity until no longer detecting motion. This was a great product that worked well. The ring floodlight cam was advertised to have a dusk to dawn feature but all I can find is to set specific on/off times, even though dusk and dawn change throughout the year. I have yet to find a way to program the lights to come on at dusk and off at dawn regardless of time of year. FAQ said that although dimmability was not available yet it would be offered in a later update. When I purchased the floodlight cam I was promised by the ring rep that it would be an available feature soon. I’m still waiting for the dimmer feature. I’ve tried to leave the lights on all night but my neighbors say it is too bright and shines in their windows. Please update the app with both the dawn to dusk feature and the dimmer feature as promised. Then I will be pleased to give 5 stars.",
16,JuanB001300,False,2017-10-22 21:52:14,"Good, but not as good as we thought",2,"We like that we get the chimes straight to our phones and we can talk to people through the chimes. Motion is great. Live view only worked once for us and it was bad quality and kind of annoying that we can talk and see people clearly when the ring communicates to the phone but not when the phone communicates to the ring. Night vision is very over exposed. Faces are not recognizable. Sometimes motion activation is very late. Not all the time but that takes things down a notch on the trust factor. Battery also died after a week after charging. Thought it would be at least a couple months before we had to recharge. Might have to find a better option as we don’t have a doorbell wire so we have to rely on battery power. We’ll use it for a while before we make our decision but as of right now we’re just kind of happy with what we got.

Btw the chat bot for troubleshooting is very slow. Found articles online faster than it gave me answers. Waited 5 min for it to reply. Actually had to send a message to wake it up.

Update: trying to setup “spotlight cam battery” but because of the live view issue above. Don’t know what it is but motion is working but live view can’t? Is there anyone from ring that can help? Assistance is lacking, main feature of device doesn’t work. Rating drop and almost ready to send back.","{'id': 1567078, 'body': 'Hello JuanB001200, \n\nI am so sorry to hear about your poor Ring experience, however, rest assured, I am here to help you. I would like to connect with you directly at your earliest convenience so that I can get to work on resolving your Live View, Night Vision, and Battery Life issue. It is imperative to me that we get your Ring device working consistently to your expectations and I would like to ensure that I make this happen with no further hassle for you. If you would kindly write me at Kaitlyn.rosenthal@ring.com I would like to get to work on providing you with the best possible resolution. \n\nI look forward to improving your Ring experience. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2017-10-23T19:59:33Z'}"
17,Fallen_Anjel,False,2019-12-22 19:40:56,Newest update,4,"Either something happened with the new update or idk what.  I’ve been using my two spotlight cams for 9 months now. The doorbell for 20 months.   I have a Wasserstein solar panel hooked up to one spotlight cam. The battery stopped charging two weeks ago. That’s another story. I haven’t used these cameras in the cold yet. We had a few  cold nights in the teens.  I thought maybe it was the cold so I brought them all inside, charged batteries for over 12 hours.  Even tho the website says operating temp is like 4°. But that’s the operating temp or the DEVICE. I’m wondering what the operating temp of the BATTERIES are. 
Installed everything again.  Solar panel still not charging battery. (I’ll deal with Wasserstein later). 
In all three products  the video is choppy and pixelating and slow. I cannot touch the screen to dismiss the onscreen controls. Nothing has changed in my WiFi settings. The router is in the same spot it’s been for four years. This seems to have started after the recent update. 
I have 4 stars because while they do what I mostly want there is a LOT of room for improvement.  If I could install a real security system I would but I rent and can’t be drilling holes into the house or the walls or floors for wires.  
Please check into this.",
18,NREMTP3070,False,2018-05-25 16:34:18,App can't handle doorbell changes,1,"I bought the ring doorbell and it worked good for about 5 months then problems. They switched out my doorbell but the app won't allow me to delete videos from the old doorbell. When I try to delete them it asks me to login again. I was told the next app update would fix this but there have been a couple since then without a fix. 
     Also the company can see your battery status even if your doorbell is hard wired but you can only see battery status if it's not hard wired. Again I was told this feature was inadvertently removed and would be added back in the next update. No such luck so far. App needs some work in my opinion. There are better doorbells out there and when this one dies I will switch.
          The neighborhood feature places me in a city I have never lived at.  I have talked to tech support and they know it’s an issue but two more updates later and still it isn’t fixed. 
         Last is the doorbell “shows motion alert” at 3:47 every morning. Once again I was told they know about this bug but several updates later and it still is alerting me in the middle of the night to “motion” that doesn’t exist. What does tech support say? They will “eventually” fix it but in the mean time setup a time in the app that you don’t receive alerts. That defeats the purpose of having the door bell. So basically tech support hasn’t been any help at all.","{'id': 3642295, 'body': 'Hi NREMTP3070, \n\nI am so sorry to hear about this poor and inconvenient Ring experience. This is not the experience that we intended for you to have and I would like to step in and work to resolve this for you. While I do see that you have been working with our Customer Support team, I would appreciate the chance to connect with you directly so that I can provide you with some additional assistance. Would you be so kind as to email me directly at Kaitlyn.rosenthal@ring.com?\n\nI would appreciate your time as well as the chance to improve your overall Ring experience. \n\nKaitlyn R., Customer Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-05-29T18:25:36Z'}"
19,Credd0514,False,2017-10-15 00:53:25,Latest update is disaster!!!!,1,"Ever since the latest update was released video has been delayed. A person walks up to my door, the frame freezes. The camera is no longer recording the entire thing. It's pretty much only taking a snap shot. A get a motion alert and nothing is there because the camera is constantly freezing. I paid the yearly fee for video not pictures or nothing at all. Ring Pro is absolutely useless and like having no security feature at all if not doing what it was intended to do. I'm also glad to see I'm not the only one having this problem so support can't say it's on your end.

Update: Almost a year later and this doorbell is still a disaster. It worked great for about three months and then the developers started rolling out updates and the thing hasn’t worked like it should since. I have been through four of these doorbells within a year. The last one just stopped working completely. I’m a software engineer for over 20 years and sometimes being on the phone with CS for over an hour can be insulting. The video stream is choppy and not consistent. I continue to get pixelated video and freezing. UPS rings the doorbell and the video shows the driver leaving in his truck. I just wish they would get these firmware updates right or allow clients to rollback. New hardware but the developers are constantly putting out new software updates that are obviously not ready.",
20,tddmore,False,2018-10-11 03:00:17,Love It!,4,"I’ve had my ring Video Doorbell installed almost 2 months.  It’s been great!  I live in a rural area and the only traffic I usually get are family members or deliveries.  I had a digital doorbell prior to ring and although ring was simple to install, I apparently didn’t install ring correctly (because the doorbell no longer works), but I also have “Chime” and prefer Chime over the digital doorbell any day!  I also love seeing pictures/comments from the neighbors with ring (there seem to be a lot of us) - ring makes a great neighborhood watch.

I have two very small complaints (which is why I scored it a 4 and not a 5):  I thought with power the battery would last a long time without requiring a charge.  It lasted almost 2 months.  The bright side is that I was sent an email warning me about the battery requiring a charge and the battery took seconds to remove/replace to charge it.  My second complaint is that activation is supposed to be triggered by infrared activity and not motion, yet when it’s windy, ring goes off a lot.  I could have gnats or something flying by, but I never see anything in the video.

Overall - I love ring and think it’s a great product and am exploring other products in the ring family.",
21,Xxlxtl,False,2019-06-18 08:54:05,Works well,4,"Hi, I have a ring spotlight wired. After reading tons of reviews it seems that most issues are caused by battery powered cameras. I did find out after that even the wired isn’t truly wired and has a battery. Regardless, I get really good video quality, the motion works 95% of the time, and as long as you set your settings for motion to say second bar over from left I haven’t had any problems. Also don’t set motion zone to the road or every car is gonna trigger it and drain battery.  I would like to see an option for  video quality in playback for when I’m not on WiFi. It’s just about impossible for me to watch a video otherwise. Possibly could add scrollable timeline pictures so we don’t have to watch the video and save data. The new live view feature I do not like. Maybe I haven’t had a chance to use it much but old one is much less complicated. Should have had some helpful emoji descriptions or similar over new buttons to help people understand better. Also when live viewing from new video feature I get awful feedback noise which isn’t very discreet. I had a squawk from time to time before but now every time so yeah I turned that part off. Was super easy to install as well. Thanks",
22,SpeleoWorm,False,2022-02-05 13:48:20,Bug in Motion,1,"I get motion alerts at 21 minutes after the hour during the day and night (8:21pm, 2:21am, 3:21am, 6:21am, etc) from my Ring mailbox sensor when no motion occurs. This looks like a programming bug to me since the timing is so consistent. I have one of those super strong set in concrete mailboxes that doesn’t move a millimeter, so it is not blowing in the breeze, and the motion sensor is properly installed inside the mailbox (which has no bugs living inside). I also have a strong signal to the bridge which sits in a window facing the mailbox and the wire is sealed with a grommet so no moisture gets inside. I have reviewed the video footage and looked out the window when alerts occur and nothing is happening (I live at the end of a dead end road). There must be something happening in the device or bridge or Ring service on an hourly basis which is causing these invalid alerts. I have also tried to silence them at night (6pm to 6am) using the disable schedule feature, but that doesn’t seem to work either. In addition, all of the mailbox sensor functionality lives under the “lights” section in Ring, which doesn’t make any sense…it should show up with the other motion alerts from my doorbell which also cause the camera to record any activity, not be buried under the lights section where no one will look for them. Ring missed the ball with this one.",
23,jstarks3091,False,2021-12-19 16:48:26,"Ring Doorbell Garage Floodlight, Camera Security",4,"I have the whole Ring Security System. I have been satisfied with the operation it provides for my home. The only reason I can only give four stars is it goes off the line too much to suit me. When it does, for my garage I have to pull out the 15’ ladder climb up, scan the barcode and reset it by trying to locate the recessed button. This is a pain in the A_ _ for me, for I am 80 years old and do not need to be climbing ladders. Second,  I have to go to the doorbell, remove the cover and reset that button too. It is not that easy to get off. When I call for Tech Support sometimes, I must admit, they are quick to response, but it takes them awhile to talk me through everything, or if that isn’t the problem take forever to trouble shoot with level one. Finally when they transfer me to level two, in no time the problem is solved. They are courteous and patent, but I do believe the system does heeded some update patches to prevent this. All and all for the total price I paid for the system beat every other security company I contacted. I do intend to remain with Ring, for I feel secure with their products.",
24,1957Desoto,False,2018-10-25 17:42:08,"Love the hardware, app annoys.",2,"First let me say the app works well and is easy to set up. I like the neighborhood feature and the ease of integrating other Ring products. However, the app insists on being the most important thing going on. If you select banner notifications, they do not automatically disappear unless you do it manually. This becomes especially problematic when I am using my phone for directions and the banner blocks the next turn and how many miles until the next turn. If I’m driving and try to swipe up, oftentimes I accidentally tap the banner, which opens the app. Then I have to pick up my phone while driving and try to switch back to navigation before I miss my turn,and this happens all the time. I want banner notifications but not permanently. 

The other gripe I have is the audio notification. If you are talking on the phone and someone sets off the motion detector, it notifies you over your conversation and you miss everything that was just said. If someone God forbid rings the doorbell afterwards, you miss even more of the conversation. I’m in sales so it has hit me at a few crucial times. Me: “so what kind of budget are we working with?” Customer: “well we really like what we see so we desigMOTION DETECTED AT YOUR FRONT DOOR and I think we will be able to commit to DING DONG will that work? 

Annoying. Fix it please.",
25,captian noname,False,2022-02-19 22:17:07,Garbage,2,"This app sounds nice and offers a few options but i dont like the live feed along with other things. I dont know if its because i live in a cold climate zone with snow in my area, but i have the absolute worst reception when trying to view my live feed. I invested in the chime because without it the doorbell would constantly disconnect from the wifi and id have to manually open the doorbell hardware to reconnect it to the software application. After investing more money into the chime, my wifi connection no longer disconnects but the live video feed is choppy as all can get. I have fiber optic internet and never have a problem with any of my devices, ONLY the ring doorbell. I hate the quality i get for how much money i put into this system. Plus if u want to view the videos later to maybe share them u have to pay an annual fee. I dont like this system and will probably get a different brand next time. Oh yea, the police have access to your cameras without u knowing about it, to turn that off u have to select the option to not let them use ure device. Something like this should be illegal without the owner being actively aware that they can be taken advantage of without the need for their consent. I am strongly disappointed with the quality that ring provides!",
26,DustyJay,False,2019-03-22 02:01:15,Spotlight and doorbell,3,"I have both a spotlight cam and a doorbell cam. Both have issues picking up cars. Always the same box truck or fire truck, it’s consistent at least... the spot light cam has more customization in regards to the customizable area that you can set where it picks up motion. The doorbell cam is too simple and not customizable enough which is weird because naturally that’s where more vehicle movement will be.. the flood light cam was worth every penny even though I can only use on about 25% sensitive due to said issues, it still picks up everything I need. The doorbell cam I’ve actually considered removing other then it offers one simple function, when someone rings I can talk to them. Other then that I’ve turned it’s sensitivity all the way down on the doorbell, I don’t need to know every time a box truck or the mail man goes by. 

All in all the floodlight cam is worth the money! The doorbell would probably be worth it if you lived in a quit neighborhood will low traffic. I would also love if the loading time to get into the camera after it spots motion would speed up, sometimes it takes up to 30+ seconds before my view of the live footage is available. Add more functionality to doorbell cam, speed up connection times and I’d give 5 stars.",
27,DJSinMA,False,2018-10-04 20:58:59,"Not sure,mixed feelings",3,"I started with the flood light cam. I like it most of the time. The camera is good on the videos when you go back to view, but this is my issue. The live view is not great, in & out, stalls, video drags. Also, at night the alerts go off constantly on some evenings. When i view, there is absolutely nothing there. I have it on the least sensitivity (people only), yet still goes off all the time, especially when it rains.
Then I have the original video doorbell. I hate that thing. Battery is dead after a week with almost no use, but i could live with that if it worked properly. Works maybe 10% of the time. Most of the time I get a black screen on the videos. It is installed properly, Has good connection. Yet I’ll get an alert and when I view the video, yep just a total black screen throughout the entire video.
Now let me end with saying there is nothing wrong my connectivity. I have very good speed (pay for the highest my cable company offers), and the app shows good connectivity. I wanted to get others for my side/back, but very hesitant. I also like that they now have the home security, but again very hesitant. The 3 starts is because the floodlight is not horrid, but if i was rating the doorbell, would be 1 star (negative if it allowed)",
