,title,isEdited,date,rating,review,userName,developerResponse
10,Love DoorDash…but MANY order issues,False,2021-09-11 00:05:00,3,"1st, let me say, I do LOVE DoorDash. Very convenient, especially during this never ending Covid pandemic. I am immunocompromised & have to take immune suppressing drugs daily due to a rare condition..and I live in a state with 1 of the lowest vaccination rates..and I live less than 30 minutes from 1 of our state’s “hotspots” so..very helpful for me. DoorDash customer service is awesome. Most of the drivers I’ve encountered are super nice. So why the 3 stars right? I would estimate that 1 out of every 3 orders I place has an issue. I haven’t used the app in many months because 5 (FIVE!!) orders in a row had issues! Not minor issues either…items left out, items substituted (without contacting me and/or confirming I was ok with it), food completely wrong, etc). And I’m often ordering for my 6 yr old, who has a sensory disorder/ADHD/anxiety/dyspraxia so she often gets upset and..it’s just frustrating because it’s all completely avoidable IMO. As I said, customer service is wonderful & helps resolve issues..but I’m still left without the items I needed/wanted, still have to get them & also take the time to get in touch with customer service & work on a resolution. Who really wants to do all of that more often than not when ordering?? I would truthfully use another service if one was available in my area. Just to avoid the hassle. But, again, DoorDash itself is wonderful 🤷‍♀️",Bakery Story/Team Lava,
11,Assignment of Dashers,False,2020-10-15 01:16:46,3,"I’m not sure how this works, but I’ve faced this issue innumerable times. So my user journey is - I check out the food/restaurant on doordash -> order food from the resto  -> order is placed -> money deducted (all good till here) -> I see an ETA -> And now a dasher is assigned (which I see)  -> So the dasher makes it a point to not pay heed to the ETA and bring food anytime after that. I am a human and I crave food when hungry. And that is why app like Doordash exist because of the craving and the ease to answer my craving. And when that is not satisfied, trouble begins and I write a review. So my problem is 1.) How come dashers change mid-way : is it like they bring food and in mid-way ‘Tony (namesake, the dasher who was assigned)’ met ‘Frank(new dasher)’ and they exchanged my food mid way and now Frank comes. 2.) Many times I receive my food cold. Why? If the taxes are not sufficient increase them but bring my food ‘hot’. Please. 3.) The dashers are always assigned to multiple pick-ups and no wonder food turns up cold - kindly make an algorithm so that a dasher pertains to not more than ‘3’ orders else the customer has to eat stone-cold food. 4.) Tips - I earlier used to give them, but once I started receiving stone cold food I stopped and I am afraid what else can I do. I want convenience and thanks to you I am getting that but not at the cost of delayed and cold food. Apologies but I should have voiced this out earlier.",DSR17,
12,They’ll steal your money,False,2022-05-27 13:21:11,1,I was a consistent user of door dash for a while and I paid for the dash pass monthly. I made an order on DoorDash and the wait time on the order was over an hour so I proceeded to cancel my order and asked to have the money refunded to my card and the wait was going to be roughly three days. I was instructed to contact my bank if I didn’t see the funds after three days. Three days pass and I’m still waiting for my money to come back into my account so I contacted my bank and they tell me that there is no record of door dash attempting to refund my money. So I then proceeded to contact door dash and this time they tell me repeatedly that they issued a “refund” but I would not see any money return to my account??? After wasting my breath I finally agreed to take my refund in door dash credit. A couple days later I decided to use the credit issued to my account and made an order. I received my order and was missing 5 items from my order and when I attempted to report this issue to door dash I was immediately told that because I used credit they couldn’t do anything. I open the customer support chat and was told that because of the previous issue with my account they could do nothing to fix my order. So basically i spend money every month for a “premium subscription” to door dash and then I spent two weeks trying to get my money back from door dash just to have it stolen again and then be told that I can’t have my money or my food.,Mer Lefty,
13,Information Stolen,False,2021-09-12 18:06:49,1,"My DoorDash account was somehow hacked. The person stole my credit card/bank information and ordered nearly $80 of food. They were in the middle of making a $100+ order when I locked my card. I managed to get the first order cancelled before the food was picked up, but DoorDash was offering only $44 as a refund with a credit of $17 on my next order. I’m a broke college student, so every cent counts.

They kept ignoring when I said it wasn’t me just changing my mind and cancelling my order. I had to literally beg a representative for the full refund. I haven’t received it yet. I know it’s only been a couple days and it takes time to process, but I currently have no money to pay for food or medication I HAVE to have, especially not with a compromised card. I’m thankful I have caring friends that are trying their hardest to help me (they are also broke), but there is obviously a serious privacy/security issue. I had not used my card for anything or anywhere in the area since moving into the dorm as I was saving up to do a much needed grocery shop, and it was not linked to any other app. 

I really really hope no one else has to experience this. It’s extremely stressful and I’ve been on the phone with my bank trying to secure my account and get reimbursed, which can’t happen until DoorDash completes the refund. If you’re gonna use the app, PLEASE watch your bank account closely for any unauthorized charges. You might not be able to get your money back.",amadeuswolfie,
14,Dasher dropped my food off at the wrong address😡,False,2021-08-12 00:46:59,3,"I ordered seafood from this known restaurant that was maybe 15mins away for my kids while I was at work. When I seen the dasher getting close I called them to tell them to be standing outside, he’s about to pull up. Well I got a picture text from the dasher handing my food to a man that clearly wasn’t my kids. I called my kids asked did they see anyone outside because he just gave the food to someone, they said NO so I immediately hurried and called the driver. He proceeded to tell me he was at the right address so I told him no sir my kids are standing outside he said well I gave it to a older man I asked could he go knock on the door because he gave my food to the wrong family. This man hung up in my face then would not answer my calls!!! I was so furious. 

I made a complaint and Door Dash took no time reaching back out to me only to find out that he in fact did drop my food off at the wrong location. Door Dash refunded me my money back which will take of course 5-7 days but they are the reason I gave 3 stars because of customer service being so excellent. 

As far as the driver I wish I could write a individual review about him. That was just plain unacceptable. Door dash need to add the feature where you can track the driver. If they have it, I’m behind on trying to figure out how to do it. Do better Dashers!!",DesereyNicole88,
15,Dash pass is not worth it/ poor policies and too many screw ups,False,2022-08-28 03:52:47,1,"I constantly have problems with my order and late deliveries. Door dash actually has a policy that they won’t compensate you for their mistakes if it happens to you too many times and trust me if you subscribe and use your dash pass, you will encounter an absurd amount of problems. I regularly have missing items or food that arrived extraordinarily late and I’ve had food that didn’t show up at all and was marked as delivered. Today the order I placed at a fast food restaurant at 5 o clock took almost two hours to arrive, it was finally delivered at 6:45 cold and soggy. When I called door dash about the problem they offered me LESS than the cost of my order for the issue. I did not pay for two hour old soggy food. They finally offered me a “courtesy” of the $9 they offered me on my $17 order plus an additional $10. Food prices are marked up and that extra money goes in doordashes pocket as well as the dash pash and any fees. You’re paying a lot of extra money for this service and they don’t take responsibility for their errors. In fact, after monitoring this most recent delivery i believe they had my food just sitting around in the dashers possession while they attempted to monopolize on other orders as my food got cold while waiting for over an hour to be delivered. I won’t be renewing again especially after being informed I shouldn’t get fully compensated for my cold soggy two hour late food.",Lauraloo91,
16,Malfunction in the process,False,2021-07-16 17:03:23,1,"Not thrilled that most recently I placed an order and we waited for about an hour and 15 minutes before I had to finally reach out and find out where our order was. I spoke with the driver who told me that he was in Dover which is a good half hour away from us. He said he showed up to the restaurants address that door dash gave him and that there was no restaurant there. So he advised he was going to contact door Dash and then get back to me. I never heard back from him, what I did get was an email from door Dash apologizing but my order had been canceled. When I contacted door Dash they told me that sometimes the restaurant will cancel the order because they are too busy. That makes sense. However these two stories don’t match, The driver is telling me one story and door dash is telling me another. I would assume if the restaurant is not taking any additional orders that they would have the ability to turn off door Dash prior to someone either a going through the time to make the order or b waiting for the door dash driver to arrive. I also didn’t understand that after the mistake was made it was still showing as though I could order through subway on the app??? Why would they still leave it up if it’s not an option?
Not really sure what happened this is the first time we’ve ever had a problem with door Dash but I can tell you this much it was definitely not handle the way that I would expect to have been handled.",Ani08-123456789,
17,Good (overall),False,2022-04-27 02:06:17,5,"In many ways, the work of a critic is easy. We risk very little, yet enjoy a position over those who offer up their work and their selves to our judgment. We thrive on negative criticism, which is fun to write and to read. But the bitter truth we critics must face, is that in the grand scheme of things, the average piece of junk is probably more meaningful than our criticism designating it so. But there are times when a critic truly risks something, and that is in the discovery and defense of the *new*. The world is often unkind to new talent, new creations. The new needs friends. Last night, I experienced something new: an extraordinary meal from a singularly unexpected source. To say that both the meal and its maker have challenged my preconceptions about fine cooking is a gross understatement. They have rocked me to my core. In the past, I have made no secret of my disdain for certain foods and those who prep it. It has been said that “anyone can cook”. But I realize, only now do I truly understand what those meant. Not everyone can become a great artist; but a great artist *can* come from *anywhere*. It is difficult to imagine more humble origins than those of the genius now cooking around the world. I will be returning to Door dash soon, hungry for more.",Anton Ego_food critic,
18,Door dash scams with driver tax fee ontop of delivery tip,False,2021-09-20 20:47:35,1,"I ordered on door dash and everything came but I noticed something on door dash and that was that door dash charged me for a delivery fee before paying the drivers delivery tip. The delivery fee was 8 dollars. I'm fair with my delivery drivers, so I give them a 10 dollar delivery tip. So that means I'm paying 18 dollars for delivery on a fast food meal. But the problem I had is that if I'm paying double for deliveries then is door dash paying its drivers? Well it turns out they are and I'm paying for an extra delivery fee on a fast food order. So I reached out to customer service at door dash and asked if they paid their drivers and they said they do. So I asked why am I being charged twice then when I pay. She wouldn't answer the question and tried to bribe me to get rid of me. I could care less about the refund. I just wanted answers. Well she wouldn't give me any and ontop of that she said she was only giving me a refund because she felt guilty. I just wanted to let people know that door dash and rally's are using scummy tactics to increase their profits. This order was with rally’s so I’ve included them in this cause it would be an incomplete story without it. Also: Rallys prices are higher on door dash than at the restaurant Rally's menu is limited because those items don't sell as well as others at rally's over other menu items. Ontop of a limited menu, the limited menu prices are higher than at the restaurant.",Damien Cockburn,
19,Don’t bother with delivery,False,2021-02-21 01:40:23,1,"My first few orders with DashPass were great (faster than expected delivery time and food was always hot). Then I had the occasional order delays. This has progressed to food being marked as delivered when it wasn’t. Most recently, the dasher picked up my meal, the app indicated the driver was one minute away and then the map began updating to show the driver further and further away, driving in circles. I assumed the driver was lost (no message about completing another delivery as had observed previously) and tried to message that I was available to provide directions. Then the driver got on a state highway and drove out of the city. The app updated to say the driver was at most 7 minutes away, but realistically they were at least 20. The driver had possession of my meal for over half an hour at this point. Then began the nightmare of trying to get the delivery canceled. When I finally got a hold of a customer service rep, they said the driver was completing another order first. I can see completing an order that adds 5-10 minutes and is within a reasonable geographic zone but not adding over half an hour. This is the opposite of quality assurance and I would consider this to be a potential public health issue.

I was able to reorder, walk to the restaurant and home before the dasher would have made it back into the city after dealing with customer service. DashPass is fine for order and pickup. Don’t waste your money on their delivery fees.",WhyMMM,
20,WORST FOOD DELIVERY SERVICE,False,2021-02-20 04:44:09,5,"Wow. I’ll start by saying that my food has arrived late and cold on several occasions. I have been using Uber eats religiously ever since. Tonight, I was in the mood for chili’s, which only door dash offers delivery for. I REGRET IT. Why did I ignore my past experiences and give DoorDash another chance?! I am so mad at myself. LISTEN TO THIS: I ordered my food around 9:00 pm. An HOUR later, a driver finally decides to take the order. HE COMES FROM A CITY 25-30 minutes AWAY FROM MY HOUSE. The food arrived at 11:00 pm. COLD AND SOGGY. Not only was the food late but I PAID FOR PRIORITY DELIVERY AND THE DRIVER MADE TWO STOPS BEFORE MINE! Not one, but TWO STOPS. I contact customer service and after spending 40 dollars on food, they offer 13 dollars refund and 5 dollars “credit”. I paid for the food, I paid for the delivery fee, the tax, the maintenance fee, and the TIP. And all you can offer in return is 5 dollars credit? Door dash charges 7-8 dollars in alone in fees. That 5 dollar “credit” won’t even cover the fees. I will be filing a complaint with the BBB. I think it’s horrible that I paid with my hard earned cash for a service that is mediocre. How could you not notify me that my driver would be making two stops before mine but charge me for priority delivery? Horrible company",abridgepayano,
21,It’s okay,False,2020-06-14 18:39:31,4,"I love the variety of options on this app, but there are so many frustrating things about the app itself. I’m not going to talk about the over priced tips, or how you have to tip before you even receive your order which can’t change if you’re dasher is great or crappy. There isn’t even a comment section to give feedback on the dashers because I know a few have eaten some of my food while delivering it to me. The “your favorites” section of the app is crap because it has restaurants on there that I had once and hated. Not only is there no option to actually add a your favorite, there’s no way to remove them from the section. Every time I go to “your favorites” that place is always the first in line which is also very irritating. If a restaurant is closed on a day you look for it, it shows up as “no result” even though I can go through my previous orders and find it that way. I will say I am appreciative of how responsive the support team is if the restaurant messes up, or the driver hands off the my food to someone else. They are quick with a refund, but they don’t refund your tip even if the driver doesn’t do what he is being paid to do. I would be a much happier customer if the issues surround the “your favorites” section was fixed and the drivers could be held accountable for their mistakes.",Chaol W,
22,Delivery drivers don’t ever follow instructions,False,2021-02-28 02:37:15,1,"Every time I have ordered, I have put in the instructions to not knock or ring the doorbell, and to just leave it at the doorstep (you get a notification once they mark they dropped it off anyway), but they bang on the door or ring the doorbell when they drop it off anyway.

Today I ordered food to my new place, which is a basement apartment accessed from the back yard. I explicitly said in both my address and in my order instructions that my door is on the back side of the house (which has a very clear and obvious path around it), and instructed them not to knock or ring the doorbell. Anticipating the same instruction ignorance issue as previous orders, I even sent a message through the app to the driver to tell them to bring it around the back. Lo and behold when my order arrived, the driver ignored both of my instructions and my message and rang the doorbell of the front door.

This is incredibly stupid because I am assigning the tip before the order comes by the design of the app. I am happy to give a good rip for good service, but there is no recourse or accountability for the delivery driver to follow any instructions, because their tip is guaranteed. If I am giving a tip and I put instructions down, and I’m not asking for anything irrational (literally just bring it to the correct door and don’t knock), those instructions should be followed. It isn’t hard. Not one of my drivers has followed instructions. It’s absurd.",goodbenjamin,
23,Horrible feedback. Unprofessional drivers and support,False,2019-03-25 10:55:33,5,My experience through this app has been disastrous. I have two young children and only one vehicle that my wife takes to work each day. Unfortunately the one or two times I order through this app I have received the worse service I have ever received anywhere. Both times my driver accepted the order that I had placed which therefore gave permission to the restaurant to cook my food. Both times my driver decided to not leave there current location for over an hour each time. If I had accepted the food it would have been cooked two hours before I would have received it. Another driver threatened to spit in my food when I asked how long it would take after waiting an hour. (Wait time stated 20-30 mins) and seeing that this person had not even left there house to get my food until after an hour after it was made.  Now I have to deal with this person having my address. After all the wasted time and all the grievance customer support can’t even offer free delivery for my troubles. They say your money will be back in my account in three to five days. My claim with a disgruntled driver was closed without any feedback. Money hungry company who does not care for there customers.,Hkeyes808,
24,Customers are valued,False,2022-01-17 02:14:11,1,"I’m gonna start with that I have a $50 credit for a week for year as an incentive from my employer.  Now with that being said, there are times my family of 4 has gone over the credit limit and therefor I use my credit card for the remaining balance.  In November I made a door dash order and ended up paying about $15 more than the credit.  When I received my order I realized there was a lot of food that was missing.  So I called the dasher who explained she just picked up what the restaurant had on the shelf under my name.  So I call the establishment and asked why I didn’t get everything and they said because they were out of a lot of food, I said ok then I can get a refund for the food I bought but never received and the manager said to contact door dash.  So since the end of November until last week, I was being told I’d have my refund within 7-10 days, never got it so I would contact a few more times and this last time I was able to get ahold of door dash, they stated they could not refund me my money due to their policy and procedures.  So I paid for food and never got the food or a refund.  I even told them I’d be ok with a credit on my account and they said sorry for this particular order we can not do that.  I’ve tried to reach door dash to get a better understanding and now I get nothing.  So with the rest of the credits I have until July I will NOT be using and I will NEVER use door dash again!",WendiS01,
25,Great customer service,False,2021-10-18 00:53:18,3,"Cons: Some Dashers lie and steal the food. A lot of my orders are wrong despite my instructions. Sometimes DoorDash won’t reimburse you if your order is incorrect which isn’t fair because this happens quite often. Pros: Customer service is excellent for the most part. They do what they can to rectify any issues. DashPass is great if you’re a frequent user. Suggestion: Better protocols for incorrect or missing items. I shouldn’t be treated like a liar because the restaurant got my order wrong. I’m not sure how you discipline rogue Dashers but I hope they lost their job. I’d have several instances where people take off with my food and I’m not ok with that even if I get the refund. I’ve wasted hours of my time, waiting for my food. Something should be done about that. All in all, DoorDash is ok. I prefer to cook at home at this point because all these apps seem to be a waste of money, time, and unnecessary stress.

Update: DoorDash sent me an email stating that my review of a restaurant went against their community guidelines. Say what? All I say was, “My pizza was undone in the middle and I was disappointed.” At this point, I will no longer be using DoorDash. There is no reason for a food delivery service to refuse honest reviews of restaurants. That’s very shady. Also no longer ordering anything from Chuck’s Pizza. They can both GTH.",Aaliyah's Mommy 12,
26,read for decent info 🧐,False,2021-07-29 16:09:09,4,"i use door dash A LOT, the service is great, the best out of all apps ive used. i live in a spot thats pretty hard to find, but the drivers always follow instructions amazingly. sometimes my food is a little bit cold, but i blame this on living in a busy town with lots of traffic. i have yet to have a bad experience with a driver. that being said, the system of door dash could be a bit better. theres been a few times where, for some reason, they back charge a couple days later for a delivery fee. this would be so bad if it wasnt $15, and doordash claims delivery fee is ""$1.99"". this has caused some complications because money doesnt grow on trees, and this was just the easiest way to get food to me. i also do not like the fact that you are given options for tips, rather than being able to enter them yourself. 
not many complaints at all, out of all of the delivery apps ive used this one is by far the best, there will always be complications with everything. 
all the drivers ive had have been great, unlike postmates and uber eats, so yea, go with door dash!!

plus, there is a plethora of restaurants and businesses on doordash. i can find small bakeries in my city that i wouldnt be able to on another app, so thats another great thing.",killaudreylmao,
27,"Great concept, horrible execution",False,2020-02-05 07:42:19,2,"Doordash support is horrible!!! If there is an issue with your food there is no way to get it fixed, so if you have no transportation or any other food available your out of luck. There is no way to provide feedback on restaurants or drivers to hold them accountable. For example, I had an order canceled 30 min after I placed it even though it said it would be arriving within 12-18 minutes, I had gotten home late from work so ordered that way so I could take care of things at the house, eat and go to bed, instead I’m up an hour and a half later due to no notification. I should be able to put a review on that restaurant so that others are aware of their unreliability. Another restaurant never reads special instructions, so first off, I get food I won’t eat and will only get a partial refund, um, no, I should get a full refund for the cost of the food at least. I should also be able to put a review on that restaurant so customers know they have to call the restaurant if they have special instructions and want them followed. Not to mention the driver that drove up in my YARD instead of my driveway! I mean, come on!!! The only thing you can put is driver is unprofessional ... seriously? It’s absolutely ridiculous and completely frustrating, need to be able to leave restaurant reviews and doordash needs to have some accountability for poor performance for the restaurants and drivers.",abillye,
28,App Failed & the Worst Customer Support Ever!,False,2019-04-25 02:48:20,1,"I used the app and was able to order food when traveling. The second time when ordering at work it did not process so I tried to submit again and it told me my account was deactivated. I reached out to support to find out what happened as my credit card is in good standing. Support sent me an email saying they would look into it. A week later I followed up to see if there was any resolution which they replied back with a link to their legal terms page and said I had violated their terms. THAT WAS IT. That was their customer service response to their app failing during normal use. 
I even checked with my credit card company which told me they had not denied any transactions from DoorDash and my card was still active and valid. I also tried to place an order using a different email address to see if I could still order and it came back as account deactivated most likely since I used the same credit card. So that was my experience with the worst customer service and app fail. Their app failed and their response was THAT I VIOLATED their terms during normal use of placing a lunch order. I find it so funny. They could’ve replied with a different response to discover what error may be happening with their service and chose to place the blame on me. Good luck with anyone choosing to use this company. I wish DoorDash the best and hope they will  do better in the future with their service and how they decide to treat their customers.",Dan-O-22,
